LoanAmount,AnnualIncome,MonthlyNetSalary,InterestRate,NumberOfLoan,NumberOfDelayedPayment,OutstandingDebt,DebtToIncomeRatio,MonthsOfCreditHistory,PaymentOfMinimumAmount,MonthlyInstallmentAmount,AmountInvestedMonthly,MonthlyBalance,CreditScore
2275.75,14483.14,1290.93,22,6,21,2030.51,168.24,203,1,54.93,173.86,190.31,391
2896.35,17683.37,1454.61,16,7,20,2600.36,176.46,79,1,89.92,119.48,206.07,736
2967.46,17683.37,1454.61,16,7,17,2600.36,176.46,86,1,89.92,48.37,277.18,493
1093.46,12931.56,1348.63,9,3,20,752.86,69.86,249,0,20.58,34.27,320.02,681
1114.06,12931.56,1348.63,9,3,19,752.86,69.86,251,1,20.58,63.67,340.62,645
1068.6,12931.56,1348.63,9,3,20,752.86,69.86,253,1,20.58,99.13,295.16,418
1072.16,12931.56,1348.63,9,3,20,752.86,69.86,256,1,20.58,105.57,298.72,397
2527.43,53225.37,4526.45,30,2,15,2090.45,47.13,119,1,45.17,295.67,391.81,463
1642.65,34498.62,3168.89,1,0,4,1238.7,43.09,323,0,0,192.94,403.95,766
1670.8,34498.62,3168.89,1,0,3,1238.7,43.09,326,0,0,154.79,432.1,682
61062.37,72412.74,6294.4,6,1,15,794.93,13.17,319,0,59820,430.95,447.44,720
1022.4,72412.74,6294.4,6,1,15,794.93,13.17,321,0,31.05,691.97,196.42,796
410.16,15648.79,1230.07,2,4,7,133.99,10.27,227,0,40.58,136.83,235.59,351
461.58,15648.79,1230.07,2,4,7,133.99,10.27,228,0,40.58,75.41,287.01,475
432.28,15648.79,1230.07,2,4,10,133.99,10.27,229,0,40.58,104.71,257.71,405
408.81,15648.79,1230.07,2,4,10,133.99,10.27,234,0,40.58,138.18,234.24,329
1531.75,37421.88,3060.49,9,3,14,1083.06,34.73,361,0,59.19,147.36,389.5,592
2734.84,68690.08,5588.17,19,9,24,2042.65,35.68,234,1,380.79,116.63,311.4,454
2795.4,68690.08,5588.17,19,9,27,2042.65,35.68,236,1,380.79,46.07,371.96,309
1897.27,36130.89,3192.91,20,2,10,1395.65,46.35,344,0,32.59,77.67,469.03,541
1899.87,36130.89,3192.91,20,2,10,1395.65,46.35,347,0,32.59,55.07,471.63,681
4764.07,19916.14,1840.68,22,7,23,4358.08,262.59,165,0,76.86,28.08,329.13,366
1265.43,35733.63,2883.8,11,6,19,781.34,26.24,99,1,96.6,44.28,387.49,781
1219.1,35733.63,2883.8,11,6,19,781.34,26.24,104,1,96.6,120.62,341.16,647
1506.43,141025.92,12004.16,10,1,14,843.59,7.18,369,0,117.51,817.58,545.33,575
2623.62,59304.2,4972.02,24,3,24,1945.03,39.36,149,1,76.88,58.61,601.71,335
2522.75,59304.2,4972.02,24,3,23,1945.03,39.36,151,1,76.88,169.48,500.84,368
2426.9,59304.2,4972.02,24,3,25,1945.03,39.36,155,0,76.88,285.33,404.99,709
233.3,116114.76,9541.23,18,0,8,37.71,0.39,190,1,0,1048.54,195.59,826
708.59,14799.91,1469.33,8,0,6,427.59,34.67,250,0,0,135.93,281,583
719.95,14799.91,1469.33,8,0,3,427.59,34.67,251,0,0,134.57,292.36,581
1937.06,9548.82,535.73,18,2,15,1651.16,207.50,204,1,8.69,57.67,277.21,746
2668.56,8286986,1725.04,17,9,19,2329.29,0.34,170,1,116.08,113.23,223.19,351
2716.63,18180.43,1725.04,17,9,20,2329.29,153.74,172,1,116.08,55.16,271.26,327
1502.69,76476.66,6536.06,10,2,2628,1020.69,16.02,245,0,108.96,451.61,373.04,579
1711.75,76476.66,6536.06,10,2,4,1020.69,16.02,246,0,108.96,222.55,582.1,563
3676.44,38714.36,3222.2,25,6,15,3370.74,104.48,70,1,105.58,286.52,200.12,354
3243.18,16923.73,1437.31,19,9,17,2882.5,204.39,41,1,93.95,53.05,266.73,829
3260.09,16923.73,1437.31,19,9,19,2882.5,204.39,42,0,93.95,56.15,283.64,842
3241.7,16923.73,1437.31,19,9,19,2882.5,204.39,43,1,93.95,34.53,265.25,689
3163.72,16923.73,1437.31,19,9,19,2882.5,204.39,44,1,93.95,152.51,187.27,643
761.97,33797,2909.42,4,2,12,469.99,16.69,289,0,39.78,288.97,252.2,524
759.22,117878.55,9836.21,6,3,8,84.22,0.86,309,0,259.24,588.63,415.76,850
499.81,117878.55,9836.21,6,3,8,84.22,0.86,310,0,259.24,858.04,156.35,667
799.81,16520.79,1110.73,11,1,0,489.96,35.59,185,0,13.64,71.22,296.21,625
1332.13,33857.41,2683.45,20,4,18,899.22,31.87,214,1,89.43,85.43,343.48,850
1721.04,29349,2442.75,17,2,17,1419.52,58.04,239,0,45.31,212.75,256.21,835
2582.58,9748.99,610.42,25,2,11,2283.16,281.03,219,1,16.1,31.62,283.32,468
2554.94,9748.99,610.42,25,2,13,2283.16,281.03,221,1,16.1,79.26,255.68,830
2587.79,9748.99,610.42,25,2,10,2283.16,281.03,223,1,16.1,16.42,288.53,474
2577.32,9748.99,610.42,25,2,13,2283.16,281.03,224,1,16.1,36.88,278.06,734
2581.69,9748.99,610.42,25,2,13,2283.16,281.03,225,1,16.1,52.51,282.43,300
1031.63,93352.86,7629.41,9,1,4,483.78,6.22,210,0,51.77,475.09,496.08,846
2881.62,8242.34,652.86,29,6,22,2604.83,379.24,225,1,24.96,78.5,251.83,304
2896.96,8242.34,652.86,29,6,20,2604.83,379.24,229,1,24.96,63.15,267.17,335
909.37,33089.51,3019.46,10,1,11,557.02,20.20,327,1,15.65,209.6,336.7,734
1006.8,33089.51,3019.46,10,1,10,557.02,20.20,328,1,15.65,142.16,434.13,659
942,33089.51,3019.46,10,1,10,557.02,20.20,330,1,15.65,176.96,369.33,783
1037.28,33089.51,3019.46,10,1,10,557.02,20.20,331,1,15.65,61.68,464.61,701
1065.18,33089.51,3019.46,10,1,10,557.02,20.20,333,1,15.65,43.78,492.51,761
1388.23,21551.57,1774.96,6,3,16,991.04,55.18,185,0,49.27,30.3,347.92,342
1367.32,21551.57,1774.96,6,3,15,991.04,55.18,191,0,49.27,71.22,327.01,328
2062.17,42846.39,3670.53,22,7,19,1745.53,48.89,148,1,146.53,330.42,170.11,450
2277.42,42846.39,3670.53,22,7,17,1745.53,48.89,149,1,146.53,115.17,385.36,407
2259.23,42846.39,3670.53,22,7,18,1745.53,48.89,151,0,146.53,143.36,367.17,306
2086.05,42846.39,3670.53,22,7,19,1745.53,48.89,152,1,146.53,316.53,193.99,663
2277.04,42846.39,3670.53,22,7,19,1745.53,48.89,153,1,146.53,75.55,384.98,830
4002.43,31236.52,2622.04,30,7,16,3596.37,138.16,124,1,160.39,126.15,245.67,667
4053.09,31236.52,2622.04,30,7,20,3596.37,138.16,127,1,160.39,55.48,296.33,804
1459.4,60243.46,5070.29,16,3,12,854.02,17.01,262,0,76.82,171.65,528.56,839
1428.1,60243.46,5070.29,16,3,11,854.02,17.01,268,0,76.82,212.95,497.26,807
1841,145994.28,12333.19,7,3,16,896.1,7.37,323,1,272.59,558.42,672.31,606
2117.04,145994.28,12333.19,7,3,16,896.1,7.37,326,1,272.59,252.38,948.35,834
1718.84,15641.73,1205.48,8,4,4,1429.18,109.64,256,0,30.88,120.88,258.78,523
1779.29,15641.73,1205.48,8,4,4,1429.18,109.64,257,0,30.88,30.44,319.23,613
3142.3,18946794,833.03,34,8,17,2838.2,0.18,129,1,35.68,69.21,268.42,701
466.42,45034.34,4021.86,8,2,13,36.56,0.97,274,0,48.73,242.33,381.13,596
562.98,45034.34,4021.86,8,2,13,36.56,0.97,278,0,48.73,165.77,477.69,603
555.7,45034.34,4021.86,8,2,13,36.56,0.97,280,0,48.73,163.05,470.41,558
34477.94,45034.34,4021.86,8,2,13,36.56,0.97,281,0,33977,139.08,464.38,577
1987.89,83206.72,7003.89,25,7,22,1394.25,20.11,84,1,472.49,386.75,121.15,384
469.66,16197.91,1319.83,10,7,19,119.94,8.89,119,1,64.32,72.26,285.4,843
401.31,17938268,1319.83,10,7,19,119.94,0.01,122,1,64.32,130.61,217.05,638
2787.75,130402.88,10187.67,7,1,8,943.72,8.68,364,0,686.98,118,1157.05,618
1097.66,121486.92,10314.91,12,3,5,605.65,5.98,194,0,217.16,809.48,274.85,395
1681.63,121486.92,10314.91,12,3,6,605.65,5.98,197,0,217.16,195.51,858.82,458
1721.06,121486.92,10314.91,12,3,3,605.65,5.98,199,0,217.16,156.09,898.25,405
1716.45,121486.92,10314.91,12,3,5,605.65,5.98,200,0,217.16,160.69,893.64,354
1741.79,121486.92,10314.91,12,3,5,605.65,5.98,201,0,217.16,135.35,918.98,812
1437.75,21642.85,1712.57,8,3,5,1145.77,63.53,216,0,39.02,169.29,252.96,738
1526.93,21642.85,1712.57,8,3,5,1145.77,63.53,219,0,39.02,50.1,342.14,705
1687.84,35586.4,2796.53,6,6,16,1355.24,45.70,212,1,137.66,227.06,194.94,836
1796.12,35586.4,2796.53,6,6,11,1355.24,45.70,214,1,137.66,98.78,303.22,636
1671.83,35586.4,2796.53,6,6,17,1355.24,45.70,219,1,137.66,233.07,178.93,685
1078.91,31230.98,2809.58,13,3,10,696.43,26.76,91,1,67.12,168.49,315.36,822
1076.5,31230.98,2809.58,13,3,10,696.43,26.76,94,1,67.12,180.89,312.95,369
4607.78,8967.46,984.29,17,5,16,4303,575.82,124,0,34.46,53.65,270.32,758
4591.98,8967.46,984.29,17,5,19,4303,575.82,125,1,34.46,89.45,254.52,681
32504.08,8967.46,984.29,17,5,17,4303,575.82,127,1,27891,33.89,310.08,829
4652.07,8967.46,984.29,17,5,16,4303,575.82,128,1,34.46,39.35,314.61,687
3127.78,73394.12,5968.18,23,5,17,2704.68,44.22,97,1,168.18,453.72,254.92,775
3277.37,73394.12,5968.18,23,5,17,2704.68,44.22,103,1,168.18,284.13,404.51,678
1796.96,33643.54,3048.63,20,5,17,1300.7,46.39,189,1,70.54,58.6,425.72,845
2742.6,17044.23,1671.35,34,3,25,2396.18,168.70,170,1,31.75,70.72,314.67,414
2790.22,17044.23,1671.35,34,3,25,2396.18,168.70,173,0,31.75,23.1,362.29,486
1107.96,30547.98,2353.67,5,3,20,687.69,27.01,283,0,55.52,75.09,364.75,742
1094.46,30547.98,2353.67,5,3,19,687.69,27.01,285,1,55.52,78.59,351.25,835
1091.66,30547.98,2353.67,5,3,19,687.69,27.01,286,1,55.52,121.39,348.45,715
1053.77,30547.98,2353.67,5,3,19,687.69,27.01,289,1,55.52,129.29,310.56,808
1138.7,30547.98,2353.67,5,3,19,687.69,27.01,290,1,55.52,64.35,395.49,642
3964.19,8609.79,511.48,28,6,23,3688.7,514.12,75,1,34.83,65.66,240.66,785
3974.04,8609.79,511.48,28,6,23,3688.7,514.12,77,1,34.83,45.8,250.51,807
3998.34,8609.79,511.48,28,6,20,3688.7,514.12,80,1,34.83,21.5,274.81,777
3597.34,14353.89,1285.16,24,6,16,3259.17,272.47,27,1,71.06,30.35,267.11,341
518.01,21596.24,1962.69,6,2,5,128.19,7.12,198,0,34.94,66.45,354.88,530
1097.34,123375.18,10275.27,7,4,0,36.21,0.35,274,0,260.18,206.39,800.95,592
2957.69,17347.04,1285.59,15,5,9,2674.44,185.01,155,1,38.52,125.31,244.73,503
3033.13,17347.04,1285.59,15,5,9,2674.44,185.01,158,1,38.52,59.87,320.17,480
3034.75,17347.04,1285.59,15,5,9,2674.44,185.01,159,1,38.52,58.25,321.79,455
3029.51,17347.04,1285.59,15,5,7,2674.44,185.01,160,1,38.52,63.49,316.55,704
1155.22,60983.72,5162.98,6,1,3,491.77,9.68,324,0,34.23,102.85,629.22,311
2736.03,17816.75,1657.73,29,9,24,2422.84,163.18,190,1,68.75,112.59,244.44,428
2816.87,17816.75,1657.73,29,9,25,2422.84,163.18,193,1,68.75,21.74,325.28,786
2667.94,17816.75,1657.73,29,9,25,2422.84,163.18,195,1,68.75,210.67,176.35,369
1513.01,154352,12748.67,8,2,4,601.76,4.68,217,0,238.04,633.62,673.21,730
1987.12,154352,12748.67,8,2,4,601.76,4.68,218,0,238.04,129.51,1147.32,850
1180.31,154352,12748.67,8,2,1,601.76,4.68,222,0,238.04,966.32,340.51,645
2166.95,139582.6,11353.88,4,3,11,1102.14,9.48,211,0,300.08,330.58,764.73,627
3334.52,18293.52,1634.46,16,6,17,2945.92,193.24,111,1,46.51,44.85,342.09,776
3338.81,18293.52,1634.46,16,6,18,2945.92,193.24,112,1,46.51,60.55,346.38,710
3187.12,18293.52,1634.46,16,6,17,2945.92,193.24,116,1,46.51,212.24,194.69,734
2712.03,51371.13,4427.93,25,8,27,2402.1,56.11,66,1,225.57,402.86,84.36,682
1755.57,14542.23,1070.85,16,3,15,1482.46,122.33,199,1,18.27,123.98,254.84,753
3050.13,34094.94,2671.25,15,7,18,2704.98,95.20,143,1,169.86,181.97,175.29,516
825.22,30470.59,2518.22,12,4,5,554.31,21.83,304,0,82.26,270.91,188.65,579
968.37,30470.59,2518.22,12,4,5,554.31,21.83,307,0,82.26,97.77,331.8,543
894.61,30470.59,2518.22,12,4,5,554.31,21.83,309,0,82.26,181.53,258.04,623
925.76,30470.59,2518.22,12,4,8,554.31,21.83,310,0,82.26,170.38,289.19,763
1695.58,67942.9,5857.91,19,6,17,1012.18,17.88,173,1,236.52,182.4,446.88,770
1568.04,71508.27,5994.02,13,4,20,1266.04,21.25,307,1,132.1,577.41,169.9,724
2064.44,71508.27,5994.02,13,4,18,1266.04,21.25,309,1,132.1,41,666.3,786
1652.37,71508.27,5994.02,13,4,18,1266.04,21.25,311,1,132.1,503.08,254.23,776
1829.03,71508.27,5994.02,13,4,20,1266.04,21.25,312,1,132.1,316.42,430.89,833
1935.89,71508.27,5994.02,13,4,18,1266.04,21.25,313,0,132.1,199.56,537.75,844
2050.53,71508.27,5994.02,13,4,16,1266.04,21.25,314,1,132.1,54.92,652.39,765
2961.74,32364.58,2572.05,18,5,15,2527.33,93.71,111,0,113.13,72.8,321.28,478
2954.15,32364.58,2572.05,18,5,15,2527.33,93.71,115,1,113.13,80.39,313.69,823
31057.94,32364.58,2572.05,18,5,17,2527.33,93.71,117,0,28197,90.47,333.61,850
1227.81,70709.04,5592.42,20,6,14,805.64,13.67,201,1,260.88,407.07,161.29,760
1387.19,70709.04,5592.42,20,6,15,805.64,13.67,202,1,260.88,257.69,320.67,711
1439.88,70709.04,5592.42,20,6,15,805.64,13.67,203,1,260.88,175,373.36,706
2784.67,40341.16,3529.76,15,7,13,2385.46,70.96,215,1,164.45,243.77,234.76,329
2867.14,40341.16,3529.76,15,7,12,2385.46,70.96,217,1,164.45,121.3,317.23,310
2835.13,40341.16,3529.76,15,7,9,2385.46,70.96,221,1,164.45,173.31,285.22,704
1693.37,158483.48,12927.96,6,3,3,471.82,3.57,336,0,347.54,311.25,874.01,627
768.36,95858.31,8019.19,6,2,9,345.07,4.32,293,0,149.8,668.63,273.49,533
965.38,95858.31,8019.19,6,2,11,345.07,4.32,294,0,149.8,441.61,470.51,608
1165.56,95858.31,8019.19,6,2,11,345.07,4.32,298,0,149.8,251.43,670.69,808
38440.95,95858.31,8019.19,6,2,11,345.07,4.32,299,0,37326,132.24,769.88,712
948.46,41588.74,3201.73,7,2,8,630.25,18.19,316,0,61.94,291.96,256.27,810
1630.24,75299.36,6367.95,9,0,4,1041.4,16.60,364,0,0,307.96,588.84,336
2811.62,81969.24,6707.77,15,4,23,2015.16,29.50,239,1,188.54,134.32,607.92,337
2868.8,81969.24,6707.77,15,4,24,2015.16,29.50,244,1,188.54,57.14,665.1,836
2615.81,81969.24,6707.77,15,4,23,2015.16,29.50,245,1,188.54,340.13,412.11,523
916.35,35149.91,2703.16,15,0,9,476.09,16.25,258,0,0,70.05,440.26,731
1805.24,41647.6,3411.63,33,5,26,1303.11,37.55,178,1,170.43,79.03,331.7,397
1721.29,41647.6,3411.63,33,5,21,1303.11,37.55,184,1,170.43,212.98,247.75,347
675.67,34343.83,3144.99,16,0,19,319.99,11.18,278,1,0,228.82,355.68,734
755.89,34343.83,3144.99,16,0,19,319.99,11.18,280,1,0,128.6,435.9,745
799.66,34343.83,3144.99,16,0,19,319.99,11.18,283,1,0,84.83,479.67,645
831.77,34343.83,3144.99,16,0,19,319.99,11.18,285,0,0,62.72,511.78,803
4035.19,71522.2,6107.18,28,6,17,3683.98,61.81,160,0,244.42,539.51,106.79,694
4493.85,71522.2,6107.18,28,6,19,3683.98,61.81,163,1,244.42,40.85,565.45,698
4181.22,71522.2,6107.18,28,6,16,3683.98,61.81,165,1,244.42,393.47,252.82,713
4182.8,71522.2,6107.18,28,6,19,3683.98,61.81,166,1,244.42,391.9,254.4,631
1621.84,14093.08,1246.42,22,4,17,1321.92,112.56,174,1,42.11,114.72,257.81,459
1606.03,14093.08,1246.42,22,4,17,1321.92,112.56,176,1,42.11,120.53,242,345
2927.65,15509.88,1157.49,23,6,20,2664.21,206.13,123,1,74.04,142.31,189.4,812
3001.62,15509.88,1157.49,23,6,22,2664.21,206.13,125,1,74.04,58.34,263.37,436
2947.37,15509.88,1157.49,23,6,20,2664.21,206.13,126,1,74.04,102.59,209.12,684
2932.48,15509.88,1157.49,23,6,20,2664.21,206.13,127,1,74.04,137.48,194.23,499
2932.8,15509.88,1157.49,23,6,20,2664.21,206.13,129,1,74.04,137.16,194.55,463
1361.17,117499.47,9780.62,8,0,8,337.9,3.45,361,0,0,194.79,1023.27,783
896.86,117499.47,9780.62,8,0,8,337.9,3.45,362,0,0,699.1,558.96,828
1194.72,117499.47,9780.62,8,0,5,337.9,3.45,363,0,0,371.24,856.82,661
736.89,117499.47,9780.62,8,0,8,337.9,3.45,366,0,0,849.07,398.99,712
1261.56,117499.47,9780.62,8,0,8,337.9,3.45,368,0,0,334.4,923.66,480
2138.08,36210.3,3029.53,30,4,19,1744.57,57.81,229,1,106.04,169.45,287.47,417
1364.55,45051.24,3874.27,6,3,17,1014.25,27.02,379,0,73.94,307.13,276.36,718
1611.55,45051.24,3874.27,6,3,19,1014.25,27.02,381,1,73.94,30.13,523.36,662
1395.96,45051.24,3874.27,6,3,19,1014.25,27.02,383,1,73.94,275.72,307.77,731
1424.03,45051.24,3874.27,6,3,19,1014.25,27.02,384,1,73.94,237.65,335.84,768
1512.77,45051.24,3874.27,6,3,19,1014.25,27.02,385,1,73.94,178.91,424.58,658
1510.28,45051.24,3874.27,6,3,16,1014.25,27.02,386,1,73.94,151.39,422.09,722
3314.63,14787.01,1524.25,33,5,16,2975.16,241.44,63,1,48.34,62.96,291.13,562
3311.38,14787.01,1524.25,33,5,16,2975.16,241.44,66,1,48.34,96.21,287.88,841
2282.05,82332.68,6814.06,20,7,15,1566.54,22.83,79,1,289.36,225.9,426.15,457
1893.07,28496.3,2357.69,21,2,20,1513.71,63.74,238,0,45.57,136.41,333.79,488
1952.1,28496.3,2357.69,21,2,20,1513.71,63.74,241,1,45.57,37.39,392.82,729
1815.33,28496.3,2357.69,21,2,20,1513.71,63.74,244,1,45.57,214.15,256.05,695
973.49,24813.21,2168.77,18,3,20,573.77,27.75,350,1,31.61,67.16,368.11,806
2093.83,83669.52,6869.46,17,3,9,1234.99,17.71,199,1,179.53,78.11,679.31,779
1063.12,119113.71,9694.14,4,2,0,645.24,6.50,309,0,139.8,831.54,278.08,580
2415.81,19487.77,1338.98,16,6,23,2050.42,126.26,122,1,97.38,58.51,268.01,362
2356.46,19487.77,1338.98,16,6,23,2050.42,126.26,126,1,97.38,117.86,208.66,421
2377.69,19487.77,1338.98,16,6,25,2050.42,126.26,129,1,97.38,96.63,229.89,329
1998.01,82339.36,6944.61,19,4,17,1136.96,16.57,338,1,180.84,83.42,680.21,685
1803.11,82339.36,6944.61,19,4,19,1136.96,16.57,339,1,180.84,288.31,485.31,639
1918.13,82339.36,6944.61,19,4,15,1136.96,16.57,340,1,180.84,153.3,600.33,800
1737.76,82339.36,6944.61,19,4,17,1136.96,16.57,341,1,180.84,383.66,419.96,850
2015.77,82339.36,6944.61,19,4,17,1136.96,16.57,343,1,180.84,55.65,697.97,759
1451.27,71766.06,5968.51,15,4,8,940.66,15.73,266,0,198.31,376.24,312.3,745
1476.79,71766.06,5968.51,15,4,10,940.66,15.73,268,0,198.31,330.72,337.82,748
2207.25,7201.16,650.1,32,7,18,1926.88,321.09,167,1,35.86,54.64,244.51,507
4203.45,7097.02,500.42,22,7,21,3886.64,657.17,29,1,34.01,13.23,282.8,680
4202.36,7097.02,500.42,22,7,22,3886.64,657.17,34,1,34.01,24.32,281.71,338
4168.84,7097.02,500.42,22,7,24,3886.64,657.17,35,1,34.01,57.84,248.19,447
2814.72,55035.66,4690.31,33,2,15,2272.16,49.54,143,1,67.33,176.46,475.23,348
2660.31,55035.66,4690.31,33,2,15,2272.16,49.54,145,1,67.33,360.88,320.82,396
2868.83,55035.66,4690.31,33,2,17,2272.16,49.54,146,1,67.33,112.36,529.34,501
2760.2,20634.78,1572.56,18,4,13,2483.98,144.45,88,1,55.58,171.04,220.64,470
2766.42,20634.78,1572.56,18,4,12,2483.98,144.45,91,1,55.58,164.82,226.86,373
747.5,55188.52,4876.04,8,0,16,299.91,6.52,259,0,0,320.01,447.59,752
2757.69,10499.56,995.96,11,7,10,2469.98,282.30,207,1,40.54,91.89,247.17,659
2804.46,10499.56,995.96,11,7,10,2469.98,282.30,208,1,40.54,25.12,293.94,528
2811.63,10499.56,995.96,11,7,10,2469.98,282.30,210,0,40.54,37.94,301.11,535
439.18,30924.04,2647,12,2,7,1.3,0.05,339,0,38,66.82,399.88,695
1743.53,158952.84,13056.07,2,1,8,829.69,6.26,275,0,87.45,661.77,826.39,546
3057.11,64840.32,5188.36,18,6,8,2469.99,45.71,107,1,190.8,181.72,396.32,383
2927.72,64840.32,5188.36,18,6,9,2469.99,45.71,110,1,190.8,321.1,266.93,512
2933.55,64840.32,5188.36,18,6,9,2469.99,45.71,111,1,190.8,325.27,272.76,305
952.65,20985.48,1574.79,9,4,7,714.54,40.86,145,1,38.22,209.37,199.89,720
725.94,29503.65,2309.64,14,3,12,329.02,13.38,252,0,50.98,84.04,345.94,746
621.74,29503.65,2309.64,14,3,10,329.02,13.38,255,0,50.98,228.24,241.74,463
1648.05,33647.34,2804.95,9,4,7,1152.93,41.12,290,0,102.56,25.38,392.56,771
1564.44,33647.34,2804.95,9,4,9,1152.93,41.12,293,0,102.56,118.99,308.95,673
1182.44,90409.32,7758.11,9,4,13,352.83,4.68,271,1,167.03,186.2,662.58,835
1167.41,90409.32,7758.11,9,4,13,352.83,4.68,273,0,167.03,211.23,647.55,457
578.01,31225.44,2774.12,11,1,15,150.49,5.78,272,0,25.53,109.89,401.99,779
564.74,31225.44,2774.12,11,1,12,150.49,5.78,273,0,25.53,113.16,388.72,640
511.01,31225.44,2643.91,11,1,15,150.49,5.78,278,0,155.75,337.11,204.77,719
521.81,31225.44,2643.91,11,1,13,150.49,5.78,279,0,155.75,326.31,215.57,692
1507.97,25744.12,1923.34,14,1,17,1118.51,52.14,307,0,12.33,72.87,377.13,639
1510.72,25744.12,1923.34,14,1,19,1118.51,52.14,309,0,12.33,80.12,379.88,650
5051.91,16398.56,1292.55,25,5,23,4738.39,346.74,82,0,58.56,85.73,254.96,338
4990.44,16398.56,1292.55,25,5,22,4738.39,346.74,85,0,58.56,167.21,193.49,796
1358.61,129727.4,11076.62,19,2,18,1111.92,10.29,376,1,175.06,1140.98,71.63,616
1769.12,129727.4,11076.62,19,2,15,1111.92,10.29,378,0,175.06,730.46,482.14,577
1704.14,63473.6,5385.47,20,5,18,1029.31,19.46,166,1,163.31,143.72,511.52,691
1401.23,63473.6,5385.47,20,5,18,1029.31,19.46,167,1,163.31,446.63,208.61,704
1405.16,63473.6,5385.47,20,5,17,1029.31,19.46,171,0,163.31,442.7,212.54,702
1657.44,59103.06,4806.26,7,0,9,1428.53,29.00,187,0,0,541.71,228.91,802
2075.31,59103.06,4806.26,7,0,9,1428.53,29.00,189,0,0,83.84,646.78,522
2034.24,59103.06,4806.26,7,0,9,1428.53,29.00,192,0,0,144.92,605.71,587
2081.73,59103.06,4806.26,7,0,9,1428.53,29.00,193,0,0,87.42,653.2,538
2667.06,18371.27,1295.94,27,5,17,2307.33,150.71,125,1,52,49.86,307.73,423
2619.06,18371.27,1295.94,27,5,16,2307.33,150.71,127,1,52,107.86,259.73,493
2593.59,18371.27,1295.94,27,5,18,2307.33,150.71,128,1,52,133.33,234.26,445
561.49,44258.1,3867.18,11,1,1,345.23,9.36,387,0,23.66,460.46,192.6,582
724.63,44258.1,3867.18,11,1,996,345.23,9.36,390,0,23.66,297.32,355.74,653
1250.22,46422.1,4085.51,9,2,12,832.68,21.52,281,0,66.49,281.01,351.05,768
1188.29,40063.22,3305.6,11,3,10,883.31,26.46,337,0,90.56,305.57,214.42,557
4763.99,17625.61,1406.8,18,7,28,4491.22,305.77,35,1,87.87,157.9,184.9,631
4768.19,17625.61,1406.8,18,7,24,4491.22,305.77,38,1,87.87,153.7,189.1,781
5263.16,32428.98,2512.42,23,5,23,4903.14,181.44,128,1,109.27,181.22,250.75,752
5295.7,32428.98,2512.42,23,5,23,4903.14,181.44,130,1,109.27,138.68,283.29,685
1607.53,10457.88,688.49,29,8,16,1286.8,147.66,154,0,68.55,38.12,252.18,306
1576.46,10457.88,688.49,29,8,16,1286.8,147.66,155,1,68.55,29.19,221.11,820
1584.25,10457.88,688.49,29,8,16,1286.8,147.66,156,1,68.55,31.4,228.9,406
1585.01,10457.88,688.49,29,8,16,1286.8,147.66,157,1,68.55,10.64,229.66,514
1451.57,93536.04,7565.67,20,0,19,863.78,11.08,320,1,0,448.78,587.79,641
1469.34,93536.04,7565.67,20,0,19,863.78,11.08,321,1,0,411,605.56,812
1779.4,93536.04,7565.67,20,0,19,863.78,11.08,323,1,0,80.94,915.62,713
1600.41,93536.04,7565.67,20,0,18,863.78,11.08,324,1,0,269.93,736.63,758
1664.07,93536.04,7565.67,20,0,16,863.78,11.08,325,1,0,196.28,800.29,652
1712.58,93536.04,7565.67,20,0,16,863.78,11.08,326,1,0,157.76,848.8,669
3445.82,81823.28,6776.61,31,7,20,2696.49,39.55,212,1,306.15,168.33,443.18,421
3488.95,81823.28,6776.61,31,7,18,2696.49,39.55,214,0,306.15,135.2,486.31,442
3492.06,81823.28,6776.61,31,7,16,2696.49,39.55,215,1,306.15,142.08,489.42,744
3255.08,81823.28,6776.61,31,7,18,2696.49,39.55,217,1,306.15,379.07,252.44,409
3514.32,81823.28,6776.61,31,7,18,2696.49,39.55,218,1,306.15,99.82,511.68,318
2619.66,9929.24,828.44,23,3,18,2328.08,281.36,80,1,18.12,51.26,273.46,355
2649.01,9929.24,828.44,23,3,18,2328.08,281.36,84,1,18.12,21.91,302.81,407
491.34,23198518,1780.38,14,4,15,157.98,0.01,258,0,72.8,134.68,260.56,714
556.32,24148.54,1780.38,14,4,15,157.98,7.85,262,0,72.8,19.7,325.54,720
4248.03,18762.55,1710.55,24,6,372,3916.73,250.50,22,1,54.06,109.76,277.24,351
4154.58,18762.55,1710.55,24,6,24,3916.73,250.50,26,1,54.06,223.21,183.79,397
4306.9,18762.55,1710.55,24,6,23,3916.73,250.50,27,1,54.06,40.89,336.11,478
5116.25,39353.8,3201.48,18,6,18,4591.53,140.01,20,1,195.66,35.42,329.06,351
5053.9,39353.8,3201.48,18,6,21,4591.53,140.01,21,1,195.66,107.78,266.71,439
5085.44,39353.8,3201.48,18,6,18,4591.53,140.01,23,1,195.66,96.24,298.25,309
5335.32,83990.68,6776.22,18,5,21,4857.4,69.40,136,1,336.58,479.7,141.34,351
5506.62,83990.68,6776.22,18,5,19,4857.4,69.40,138,1,336.58,278.4,312.64,308
5339.43,83990.68,6776.22,18,5,19,4857.4,69.40,141,1,336.58,455.59,145.45,682
